Machine-Name,Machine-Function,Machine-Type,Machine-Price
Homogenizer,Production of pharmaceutics and cosmetics,0,"500.000,00 €"
Vaccum pump,Processing of liquid,1,"1.000.000,00 €"
Rotating cutter,Pulping and mushing,1,"2.000.000,00 €"
Egg breaker,Breaking eggs and separating yolks from whites,2,"4.000.000,00 €"
Side loader,Side loading system for single products ,1,"8.000.000,00 €"
Slicing,Creating really thin products,2,"16.000.000,00 €"
Process freezer,Crust freezing of thin products,2,"32.000.000,00 €"
Washing nozzle,Advanced hygienic device,0,"64.000.000,00 €"
Kneading machine,Olive oil extraction,2,"128.000.000,00 €"
Mixer,"Mixes all powders, flavors and cheese blends",2,"256.000.000,00 €"
Packaging machine,Oil wrapping machine for chocolate tablets and chocolate bars,2,"512.000.000,00 €"
Extruder,Testing the extrusion properties of different materials,1,"1.024.000.000,00 €"
Spray nozzle,Used on manual and automatic Air Assisted spray guns,0,"2.048.000.000,00 €"
Expander,For animal-friendly feed,2,"4.096.000.000,00 €"
Extractor,Determination of raw/crude fiber contents,1,"8.192.000.000,00 €"
